SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique
LIST_0,"",MLS Identifier,matechid,MLSID,26,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_1,"",Internal Listing ID,techid,LISTID,26,Character,"",1,"","","","","","","","","","","",0,"",1
LIST_5,AgentID,Agent ID,metechid,AgentID,26,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_6,"",CoList Agent ID,colistagen,CoListAgentID,26,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_8,"",Property Type,cardfmt,PropType,2,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_87,ModificationTimestamp,Timestamp,modtimesta,Timestamp,25,DateTime,"",1,"","","","","","","","","","","",0,"",0
LIST_105,ListingID,Listing ID,listingid,ListingID,13,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_106,OfficeID,Office ID,listoffice,OfficeID,26,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_133,"",Picture Count,piccount,PicCount,11,Int,"",1,Number,"","","","","","","","","","",0,"",0
LIST_134,"",Picture Timestamp,pictimesta,PicTimestamp,25,DateTime,"",1,"","","","","","","","","","","",0,"",0
VOWList,"",VOWEntireListingDisplay,vowlist,VOWEntireListingDisplay,1,Boolean,"",1,"","","","","","","","","","","",0,"",0
VOWAddr,"",VOWAddressDisplay,vowaddr,VOWAddressDisplay,1,Boolean,"",1,"","","","","","","","","","","",0,"",0
VOWComm,"",VOWConsumerComment,vowcomm,VOWConsumerComment,1,Boolean,"",1,"","","","","","","","","","","",0,"",0
VOWAVM,"",VOWAutomatedValuationDisplay,vowavm,VOWAutomatedValuationDis,1,Boolean,"",1,"","","","","","","","","","","",0,"",0
LIST_9,"",Category,booksec,"",100,Character,"",1,Lookup,"","","",20020928182327259351000000,"","","","","","",0,"",0
LIST_12,CloseDate,Sold Date,solddate,"",10,Date,"",1,"","","","","","","","","","","",0,"",0
LIST_15,ListingStatus,Status,status,"",100,Character,"",1,Lookup,"","","",20020928182325633205000000,"","","","","","",0,"",0
LIST_16,StatusChangeDate,Status Change Date,statuschan,"",10,Date,"",1,"","","","","","","","","","","",0,"",0
LIST_19,"",Contingency,contingent,"",100,Character,"",0,Lookup,"","","",20020928182325842590000000,"","","","","","",0,"",0
LIST_22,ListPrice,Price,listprice,"",15,Decimal,2,1,Number,"","","","","","","","","","",0,"",0
LIST_23,ClosePrice,Sold Price,soldprice,"",15,Decimal,2,1,Number,"","","","","","","","","","",0,"",0
